date,time,quantity
2024-01-02,15:00,190
2024-01-02,22:00,110
2024-01-03,22:00,140
2024-01-04,22:00,150
2024-01-05,22:00,110
2024-01-05,15:00,170
2024-01-08,15:00,130
2024-01-09,22:00,130
2024-01-09,22:00,160
2024-01-10,15:00,180
2024-01-10,15:00,160
2024-01-11,22:00,190
2024-01-12,22:00,130
2024-01-12,15:00,80
2024-01-15,15:00,150
2024-01-15,22:00,100
2024-01-16,22:00,130
2024-01-16,15:00,130
2024-01-17,22:00,170
2024-01-18,22:00,140
2024-01-18,15:00,130
2024-01-19,22:00,130
2024-01-19,15:00,190
2024-01-22,15:00,110
2024-01-23,22:00,200
2024-01-24,22:00,150
2024-01-24,22:00,120
2024-01-25,22:00,180
2024-01-25,22:00,150
2024-01-26,22:00,180
2024-01-26,15:00,150
2024-01-29,15:00,170
2024-01-30,15:00,120
2024-01-30,15:00,200
2024-01-31,15:00,140
2024-01-31,15:00,150
2024-02-01,15:00,150
2024-02-02,15:00,150
2024-02-02,22:00,180
2024-02-02,22:00,140
2024-02-05,22:00,80
2024-02-05,15:00,150
2024-02-05,22:00,110
2024-02-06,22:00,140
2024-02-06,15:00,120
2024-02-06,15:00,130
2024-02-07,15:00,150
2024-02-07,15:00,180
2024-02-08,22:00,160
2024-02-08,15:00,120
2024-02-09,15:00,170
2024-02-12,22:00,150
2024-02-13,22:00,120
2024-02-13,22:00,160
2024-02-14,15:00,80
2024-02-15,15:00,130
2024-02-16,15:00,140
2024-02-16,15:00,170
2024-02-16,15:00,160
2024-02-19,22:00,170
2024-02-20,15:00,130
2024-02-20,22:00,150
2024-02-20,15:00,120
2024-02-21,15:00,130
2024-02-21,15:00,90
2024-02-22,22:00,140
2024-02-23,22:00,70
2024-02-23,15:00,130
2024-02-26,22:00,160
2024-02-26,15:00,110
2024-02-27,22:00,170
2024-02-28,22:00,130
2024-02-28,15:00,160
2024-02-29,22:00,130
2024-03-01,15:00,170
2024-03-01,15:00,110
2024-03-04,22:00,140
2024-03-04,15:00,130
2024-03-04,22:00,110
2024-03-05,22:00,130
2024-03-05,22:00,110
2024-03-06,22:00,110
2024-03-06,22:00,150
2024-03-06,15:00,110
2024-03-07,22:00,150
2024-03-07,22:00,80
2024-03-08,15:00,160
2024-03-11,15:00,150
2024-03-11,22:00,110
2024-03-12,22:00,140
2024-03-13,15:00,190
2024-03-13,22:00,140
2024-03-13,15:00,150
2024-03-14,22:00,110
2024-03-15,15:00,140
2024-03-18,22:00,90
2024-03-19,22:00,70
2024-03-20,22:00,120
2024-03-20,22:00,140
2024-03-21,15:00,140
2024-03-21,22:00,150
2024-03-21,15:00,110
2024-03-22,22:00,110
2024-03-22,15:00,130
2024-03-25,15:00,170
2024-03-25,22:00,150
2024-03-26,22:00,180
2024-03-26,22:00,140
2024-03-26,22:00,110
2024-03-27,15:00,130
2024-03-28,22:00,170
2024-03-28,22:00,160
2024-04-02,15:00,160
2024-04-03,15:00,160
2024-04-03,15:00,130
2024-04-04,15:00,80
2024-04-04,22:00,110
2024-04-05,22:00,140
2024-04-08,15:00,160
2024-04-08,22:00,110
2024-04-09,15:00,170
2024-04-09,22:00,90
2024-04-10,15:00,170
2024-04-10,15:00,90
2024-04-11,22:00,110
2024-04-11,15:00,130
2024-04-12,15:00,90
2024-04-12,15:00,130
2024-04-15,22:00,150
