time,mill_kW,press_kW,total_load_kW,pv_kW,pv_used_kW,grid_kW,price_eur_mwh,cost_eur,housings,modules,pickup
08:00,1.8638,9.5021,11.3659,0.0746,0.0746,11.2913,94.45,0.2666,80.0,90.0,0.0
08:15,6.7293,17.0147,23.744,0.2043,0.2043,23.5397,94.45,0.5558,80.0,90.0,0.0
08:30,5.9956,17.1381,23.1337,0.1925,0.1925,22.9412,94.45,0.5417,80.0,90.0,0.0
08:45,7.1179,16.0793,23.1972,0.1787,0.1787,23.0185,94.45,0.5435,80.0,90.0,0.0
09:00,6.1091,3.2115,9.3206,0.25,0.25,9.0706,82.8,0.1878,80.0,90.0,0.0
09:15,5.6324,9.5021,15.1345,0.0592,0.0592,15.0753,82.8,0.3121,40.0,130.0,0.0
09:30,5.8458,17.0147,22.8605,0.37,0.37,22.4905,82.8,0.4656,40.0,130.0,0.0
09:45,5.1816,17.1381,22.3197,0.3718,0.3718,21.9479,82.8,0.4543,40.0,130.0,0.0
10:00,6.7301,16.0793,22.8094,0.1388,0.1388,22.6706,72.84,0.4128,40.0,130.0,0.0
10:15,3.9878,3.2115,7.1993,0.1287,0.1287,7.0706,72.84,0.1288,40.0,130.0,0.0
10:30,1.8638,9.5021,11.3659,0.5314,0.5314,10.8345,72.84,0.1973,100.0,170.0,0.0
10:45,6.7293,17.0147,23.744,1.1646,1.1646,22.5794,72.84,0.4112,100.0,170.0,0.0
11:00,5.9956,17.1381,23.1337,0.4862,0.4862,22.6475,66.64,0.3773,100.0,170.0,0.0
11:15,7.1179,16.0793,23.1972,0.8817,0.8817,22.3155,66.64,0.3718,100.0,170.0,0.0
11:30,6.1091,3.2115,9.3206,1.4086,1.4086,7.912,66.64,0.1318,100.0,170.0,0.0
11:45,5.6324,9.5021,15.1345,0.9637,0.9637,14.1708,66.64,0.2361,60.0,210.0,0.0
12:00,5.8458,17.0147,22.8605,2.5738,2.5738,20.2867,67.7,0.3434,60.0,210.0,0.0
12:15,5.1816,17.1381,22.3197,1.9259,1.9259,20.3938,67.7,0.3452,60.0,210.0,0.0
12:30,6.7301,16.0793,22.8094,1.0028,1.0028,21.8066,67.7,0.3691,60.0,210.0,0.0
12:45,3.9878,3.2115,7.1993,1.8972,1.8972,5.3021,67.7,0.0897,60.0,210.0,0.0
13:00,1.8638,9.5021,11.3659,1.4808,1.4808,9.8851,68.3,0.1688,120.0,250.0,0.0
13:15,6.7293,17.0147,23.744,3.7114,3.7114,20.0326,68.3,0.3421,120.0,250.0,0.0
13:30,5.9956,17.1381,23.1337,3.8274,3.8274,19.3063,68.3,0.3297,120.0,250.0,0.0
13:45,7.1179,16.0793,23.1972,4.7854,4.7854,18.4118,68.3,0.3144,120.0,250.0,0.0
14:00,6.1091,3.2115,9.3206,1.1764,1.1764,8.1442,68.94,0.1404,120.0,250.0,0.0
14:15,5.6324,9.5021,15.1345,4.1352,4.1352,10.9993,68.94,0.1896,80.0,290.0,0.0
14:30,5.8458,17.0147,22.8605,3.4451,3.4451,19.4154,68.94,0.3346,80.0,290.0,0.0
14:45,5.1816,17.1381,22.3197,3.609,3.609,18.7107,68.94,0.3225,80.0,290.0,0.0
15:00,6.7301,16.0793,22.8094,2.5854,2.5854,20.224,73.4,0.3711,80.0,110.0,180.0
15:15,3.9878,3.2115,7.1993,0.6237,0.6237,6.5756,73.4,0.1207,80.0,110.0,0.0
15:30,0.0,9.5021,9.5021,0.0682,0.0682,9.4339,73.4,0.1731,140.0,150.0,0.0
15:45,0.0,17.0147,17.0147,0.1747,0.1747,16.84,73.4,0.309,140.0,150.0,0.0
16:00,0.0,17.1381,17.1381,0.1401,0.1401,16.998,78.98,0.3356,140.0,150.0,0.0
16:15,0.0,16.0793,16.0793,0.1547,0.1547,15.9246,78.98,0.3144,140.0,150.0,0.0
16:30,0.0,3.2115,3.2115,0.0909,0.0909,3.1206,78.98,0.0616,140.0,150.0,0.0
16:45,0.0,9.5021,9.5021,0.0057,0.0057,9.4964,78.98,0.1875,100.0,190.0,0.0
17:00,0.0,17.0147,17.0147,0.0,0.0,17.0147,107.65,0.4579,100.0,190.0,0.0
17:15,0.0,17.1381,17.1381,0.0,0.0,17.1381,107.65,0.4612,100.0,190.0,0.0
17:30,0.0,16.0793,16.0793,0.0,0.0,16.0793,107.65,0.4327,100.0,190.0,0.0
17:45,0.0,3.2115,3.2115,0.0,0.0,3.2115,107.65,0.0864,100.0,190.0,0.0
18:00,0.0,9.5021,9.5021,0.0,0.0,9.5021,145.71,0.3461,60.0,230.0,0.0
18:15,0.0,17.0147,17.0147,0.0,0.0,17.0147,145.71,0.6198,60.0,230.0,0.0
18:30,0.0,17.1381,17.1381,0.0,0.0,17.1381,145.71,0.6243,60.0,230.0,0.0
18:45,0.0,16.0793,16.0793,0.0,0.0,16.0793,145.71,0.5857,60.0,230.0,0.0
19:00,0.0,3.2115,3.2115,0.0,0.0,3.2115,126.53,0.1016,60.0,230.0,0.0
19:15,0.0,9.5021,9.5021,0.0,0.0,9.5021,126.53,0.3006,20.0,270.0,0.0
19:30,0.0,17.0147,17.0147,0.0,0.0,17.0147,126.53,0.5382,20.0,270.0,0.0
19:45,0.0,17.1381,17.1381,0.0,0.0,17.1381,126.53,0.5421,20.0,270.0,0.0
20:00,0.0,16.0793,16.0793,0.0,0.0,16.0793,103.72,0.4169,20.0,270.0,0.0
20:15,0.0,3.2115,3.2115,0.0,0.0,3.2115,103.72,0.0833,20.0,270.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0,0.0,103.72,0.0,20.0,310.0,0.0
20:45,0.0,0.0,0.0,0.0,0.0,0.0,103.72,0.0,20.0,310.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,310.0,0.0
21:15,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,310.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,310.0,0.0
21:45,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,30.0,280.0
