time,mill_kW,press_kW,total_load_kW,pv_kW,pv_used_kW,grid_kW,price_eur_mwh,cost_eur,housings,modules,pickup
08:00,0.0,9.5021,9.5021,0.0,0.0,9.5021,94.45,0.2244,80.0,90.0,0.0
08:15,0.0,17.0147,17.0147,0.0,0.0,17.0147,94.45,0.4018,80.0,90.0,0.0
08:30,0.0,17.1381,17.1381,0.0,0.0,17.1381,94.45,0.4047,80.0,90.0,0.0
08:45,0.0,16.0793,16.0793,0.0,0.0,16.0793,94.45,0.3797,80.0,90.0,0.0
09:00,1.8638,3.2115,5.0753,0.0,0.0,5.0753,82.8,0.1051,80.0,90.0,0.0
09:15,6.7293,9.5021,16.2314,0.0,0.0,16.2314,82.8,0.336,40.0,130.0,0.0
09:30,5.9956,17.0147,23.0103,0.0,0.0,23.0103,82.8,0.4763,40.0,130.0,0.0
09:45,7.1179,17.1381,24.256,0.0,0.0,24.256,82.8,0.5021,40.0,130.0,0.0
10:00,6.1091,16.0793,22.1884,0.0,0.0,22.1884,72.84,0.4041,40.0,130.0,0.0
10:15,5.6324,3.2115,8.8439,0.0,0.0,8.8439,72.84,0.161,40.0,130.0,0.0
10:30,5.8458,9.5021,15.3479,0.0,0.0,15.3479,72.84,0.2795,0.0,170.0,0.0
10:45,5.1816,17.0147,22.1962,0.0,0.0,22.1962,72.84,0.4042,0.0,170.0,0.0
11:00,6.7301,17.1381,23.8682,0.0,0.0,23.8682,66.64,0.3976,0.0,170.0,0.0
11:15,3.9878,16.0793,20.0671,0.0,0.0,20.0671,66.64,0.3343,0.0,170.0,0.0
11:30,1.8638,3.2115,5.0753,0.0,0.0,5.0753,66.64,0.0846,100.0,170.0,0.0
11:45,6.7293,9.5021,16.2314,0.0,0.0,16.2314,66.64,0.2704,60.0,210.0,0.0
12:00,5.9956,17.0147,23.0103,0.0,0.0,23.0103,67.7,0.3894,60.0,210.0,0.0
12:15,7.1179,17.1381,24.256,0.0,0.0,24.256,67.7,0.4105,60.0,210.0,0.0
12:30,6.1091,16.0793,22.1884,0.0,0.0,22.1884,67.7,0.3755,60.0,210.0,0.0
12:45,5.6324,3.2115,8.8439,0.0,0.0,8.8439,67.7,0.1497,60.0,210.0,0.0
13:00,5.8458,9.5021,15.3479,0.0,0.0,15.3479,68.3,0.2621,20.0,250.0,0.0
13:15,5.1816,17.0147,22.1962,0.0,0.0,22.1962,68.3,0.379,20.0,250.0,0.0
13:30,6.7301,17.1381,23.8682,0.0,0.0,23.8682,68.3,0.4075,20.0,250.0,0.0
13:45,3.9878,16.0793,20.0671,0.0,0.0,20.0671,68.3,0.3426,20.0,250.0,0.0
14:00,1.3266,3.2115,4.5381,0.0,0.0,4.5381,68.94,0.0782,120.0,250.0,0.0
14:15,4.184,9.5021,13.6861,0.0,0.0,13.6861,68.94,0.2359,80.0,290.0,0.0
14:30,5.1593,17.0147,22.174,0.0,0.0,22.174,68.94,0.3822,80.0,290.0,0.0
14:45,4.2588,17.1381,21.3969,0.0,0.0,21.3969,68.94,0.3688,80.0,290.0,0.0
15:00,5.404,16.0793,21.4833,0.0,0.0,21.4833,73.4,0.3942,80.0,110.0,180.0
15:15,4.491,3.2115,7.7025,0.0,0.0,7.7025,73.4,0.1413,80.0,110.0,0.0
15:30,5.1252,9.5021,14.6273,0.0,0.0,14.6273,73.4,0.2684,40.0,150.0,0.0
15:45,3.0543,17.0147,20.069,0.0,0.0,20.069,73.4,0.3683,40.0,150.0,0.0
16:00,5.093,17.1381,22.2311,0.0,0.0,22.2311,78.98,0.439,40.0,150.0,0.0
16:15,3.6006,16.0793,19.6799,0.0,0.0,19.6799,78.98,0.3886,40.0,150.0,0.0
16:30,4.9802,3.2115,8.1917,0.0,0.0,8.1917,78.98,0.1617,40.0,150.0,0.0
16:45,4.3843,9.5021,13.8864,0.0,0.0,13.8864,78.98,0.2742,0.0,190.0,0.0
17:00,1.5369,17.0147,18.5516,0.0,0.0,18.5516,107.65,0.4993,0.0,190.0,0.0
17:15,0.0,17.1381,17.1381,0.0,0.0,17.1381,107.65,0.4612,100.0,190.0,0.0
17:30,0.0,16.0793,16.0793,0.0,0.0,16.0793,107.65,0.4327,100.0,190.0,0.0
17:45,0.0,3.2115,3.2115,0.0,0.0,3.2115,107.65,0.0864,100.0,190.0,0.0
18:00,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,100.0,230.0,0.0
18:15,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,100.0,230.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,100.0,230.0,0.0
18:45,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,100.0,230.0,0.0
19:00,0.0,0.0,0.0,0.0,0.0,0.0,126.53,0.0,100.0,230.0,0.0
19:15,0.0,9.5021,9.5021,0.0,0.0,9.5021,126.53,0.3006,60.0,230.0,0.0
19:30,0.0,17.0147,17.0147,0.0,0.0,17.0147,126.53,0.5382,60.0,230.0,0.0
19:45,0.0,17.1381,17.1381,0.0,0.0,17.1381,126.53,0.5421,60.0,230.0,0.0
20:00,0.0,16.0793,16.0793,0.0,0.0,16.0793,103.72,0.4169,60.0,230.0,0.0
20:15,0.0,3.2115,3.2115,0.0,0.0,3.2115,103.72,0.0833,60.0,230.0,0.0
20:30,0.0,9.5021,9.5021,0.0,0.0,9.5021,103.72,0.2464,20.0,270.0,0.0
20:45,0.0,17.0147,17.0147,0.0,0.0,17.0147,103.72,0.4412,20.0,270.0,0.0
21:00,0.0,17.1381,17.1381,0.0,0.0,17.1381,81.2,0.3479,20.0,270.0,0.0
21:15,0.0,16.0793,16.0793,0.0,0.0,16.0793,81.2,0.3264,20.0,270.0,0.0
21:30,0.0,3.2115,3.2115,0.0,0.0,3.2115,81.2,0.0652,20.0,270.0,0.0
21:45,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,30.0,280.0
