time,mill_kW,press_kW,total_load_kW,pv_kW,pv_used_kW,grid_kW,price_eur_mwh,cost_eur,housings,modules,pickup
08:00,1.8638,9.5021,11.3659,0.0746,0.0746,11.2913,94.45,0.2666,20.0,30.0,0.0
08:15,6.7293,17.0147,23.744,0.2043,0.2043,23.5397,94.45,0.5558,20.0,30.0,0.0
08:30,5.9956,17.1381,23.1337,0.1925,0.1925,22.9412,94.45,0.5417,20.0,30.0,0.0
08:45,7.1179,16.0793,23.1972,0.1787,0.1787,23.0185,94.45,0.5435,20.0,30.0,0.0
09:00,6.1091,3.2115,9.3206,0.25,0.25,9.0706,82.8,0.1878,20.0,30.0,0.0
09:15,5.6324,0.0,5.6324,0.0592,0.0592,5.5732,82.8,0.1154,20.0,70.0,0.0
09:30,5.8458,0.0,5.8458,0.37,0.37,5.4758,82.8,0.1133,20.0,70.0,0.0
09:45,5.1816,0.0,5.1816,0.3718,0.3718,4.8098,82.8,0.0996,20.0,70.0,0.0
10:00,6.7301,0.0,6.7301,0.1388,0.1388,6.5913,72.84,0.12,20.0,70.0,0.0
10:15,3.9878,0.0,3.9878,0.1287,0.1287,3.8591,72.84,0.0703,20.0,70.0,0.0
10:30,1.8638,9.5021,11.3659,0.5314,0.5314,10.8345,72.84,0.1973,80.0,70.0,0.0
10:45,6.7293,17.0147,23.744,1.1646,1.1646,22.5794,72.84,0.4112,80.0,70.0,0.0
11:00,5.9956,17.1381,23.1337,0.4862,0.4862,22.6475,66.64,0.3773,80.0,70.0,0.0
11:15,7.1179,16.0793,23.1972,0.8817,0.8817,22.3155,66.64,0.3718,80.0,70.0,0.0
11:30,6.1091,3.2115,9.3206,1.4086,1.4086,7.912,66.64,0.1318,80.0,70.0,0.0
11:45,5.6324,9.5021,15.1345,0.9637,0.9637,14.1708,66.64,0.2361,40.0,110.0,0.0
12:00,5.8458,17.0147,22.8605,2.5738,2.5738,20.2867,67.7,0.3434,40.0,110.0,0.0
12:15,5.1816,17.1381,22.3197,1.9259,1.9259,20.3938,67.7,0.3452,40.0,110.0,0.0
12:30,6.7301,16.0793,22.8094,1.0028,1.0028,21.8066,67.7,0.3691,40.0,110.0,0.0
12:45,3.9878,3.2115,7.1993,1.8972,1.8972,5.3021,67.7,0.0897,40.0,110.0,0.0
13:00,0.0,9.5021,9.5021,1.4808,1.4808,8.0213,68.3,0.137,100.0,150.0,0.0
13:15,0.0,17.0147,17.0147,3.7114,3.7114,13.3033,68.3,0.2272,100.0,150.0,0.0
13:30,0.0,17.1381,17.1381,3.8274,3.8274,13.3107,68.3,0.2273,100.0,150.0,0.0
13:45,0.0,16.0793,16.0793,4.7854,4.7854,11.2939,68.3,0.1928,100.0,150.0,0.0
14:00,0.0,3.2115,3.2115,1.1764,1.1764,2.0351,68.94,0.0351,100.0,150.0,0.0
14:15,0.0,9.5021,9.5021,4.1352,4.1352,5.3669,68.94,0.0925,60.0,190.0,0.0
14:30,0.0,17.0147,17.0147,3.4451,3.4451,13.5696,68.94,0.2339,60.0,80.0,110.0
14:45,0.0,17.1381,17.1381,3.609,3.609,13.5291,68.94,0.2332,60.0,80.0,0.0
15:00,0.0,16.0793,16.0793,2.5854,2.5854,13.4939,73.4,0.2476,60.0,80.0,0.0
15:15,0.0,3.2115,3.2115,0.6237,0.6237,2.5878,73.4,0.0475,60.0,80.0,0.0
15:30,0.0,9.5021,9.5021,0.0682,0.0682,9.4339,73.4,0.1731,20.0,120.0,0.0
15:45,0.0,17.0147,17.0147,0.1747,0.1747,16.84,73.4,0.309,20.0,120.0,0.0
16:00,0.0,17.1381,17.1381,0.1401,0.1401,16.998,78.98,0.3356,20.0,120.0,0.0
16:15,0.0,16.0793,16.0793,0.1547,0.1547,15.9246,78.98,0.3144,20.0,120.0,0.0
16:30,0.0,3.2115,3.2115,0.0909,0.0909,3.1206,78.98,0.0616,20.0,120.0,0.0
16:45,0.0,0.0,0.0,0.0057,0.0,0.0,78.98,0.0,20.0,160.0,0.0
17:00,0.0,0.0,0.0,0.0,0.0,0.0,107.65,0.0,20.0,160.0,0.0
17:15,0.0,0.0,0.0,0.0,0.0,0.0,107.65,0.0,20.0,160.0,0.0
17:30,0.0,0.0,0.0,0.0,0.0,0.0,107.65,0.0,20.0,160.0,0.0
17:45,0.0,0.0,0.0,0.0,0.0,0.0,107.65,0.0,20.0,160.0,0.0
18:00,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,20.0,160.0,0.0
18:15,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,20.0,160.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,20.0,160.0,0.0
18:45,0.0,0.0,0.0,0.0,0.0,0.0,145.71,0.0,20.0,160.0,0.0
19:00,0.0,0.0,0.0,0.0,0.0,0.0,126.53,0.0,20.0,160.0,0.0
19:15,0.0,0.0,0.0,0.0,0.0,0.0,126.53,0.0,20.0,160.0,0.0
19:30,0.0,0.0,0.0,0.0,0.0,0.0,126.53,0.0,20.0,160.0,0.0
19:45,0.0,0.0,0.0,0.0,0.0,0.0,126.53,0.0,20.0,160.0,0.0
20:00,0.0,0.0,0.0,0.0,0.0,0.0,103.72,0.0,20.0,160.0,0.0
20:15,0.0,0.0,0.0,0.0,0.0,0.0,103.72,0.0,20.0,160.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0,0.0,103.72,0.0,20.0,20.0,140.0
20:45,0.0,0.0,0.0,0.0,0.0,0.0,103.72,0.0,20.0,20.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,20.0,0.0
21:15,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,20.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,20.0,0.0
21:45,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,20.0,20.0,0.0
