time,mill_kW,press_kW,total_load_kW,pv_kW,pv_used_kW,grid_kW,price_eur_mwh,cost_eur,housings,modules,pickup
08:00,0.0,0.0,0.0,0.0,0.0,0.0,94.45,0.0,60.0,30.0,0.0
08:15,0.0,0.0,0.0,0.0,0.0,0.0,94.45,0.0,60.0,30.0,0.0
08:30,1.8638,0.0,1.8638,0.0,0.0,1.8638,94.45,0.044,60.0,30.0,0.0
08:45,6.7293,0.0,6.7293,0.0,0.0,6.7293,94.45,0.1589,60.0,30.0,0.0
09:00,5.9956,0.0,5.9956,0.0,0.0,5.9956,82.8,0.1241,60.0,30.0,0.0
09:15,7.1179,0.0,7.1179,0.0,0.0,7.1179,82.8,0.1473,60.0,30.0,0.0
09:30,6.1091,0.0,6.1091,0.0,0.0,6.1091,82.8,0.1265,60.0,30.0,0.0
09:45,5.6324,9.5021,15.1345,0.0,0.0,15.1345,82.8,0.3133,20.0,30.0,0.0
10:00,5.8458,17.0147,22.8605,0.0,0.0,22.8605,72.84,0.4163,20.0,30.0,0.0
10:15,5.1816,17.1381,22.3197,0.0,0.0,22.3197,72.84,0.4064,20.0,30.0,0.0
10:30,6.7301,16.0793,22.8094,0.0,0.0,22.8094,72.84,0.4154,20.0,30.0,0.0
10:45,3.9878,3.2115,7.1993,0.0,0.0,7.1993,72.84,0.1311,20.0,30.0,0.0
11:00,1.3266,9.5021,10.8287,0.0,0.0,10.8287,66.64,0.1804,80.0,70.0,0.0
11:15,4.184,17.0147,21.1986,0.0,0.0,21.1986,66.64,0.3532,80.0,70.0,0.0
11:30,5.1593,17.1381,22.2974,0.0,0.0,22.2974,66.64,0.3715,80.0,70.0,0.0
11:45,4.2588,16.0793,20.3381,0.0,0.0,20.3381,66.64,0.3388,80.0,70.0,0.0
12:00,5.404,3.2115,8.6155,0.0,0.0,8.6155,67.7,0.1458,80.0,70.0,0.0
12:15,4.491,9.5021,13.9931,0.0,0.0,13.9931,67.7,0.2368,40.0,110.0,0.0
12:30,5.1252,17.0147,22.1399,0.0,0.0,22.1399,67.7,0.3747,40.0,110.0,0.0
12:45,3.0543,17.1381,20.1924,0.0,0.0,20.1924,67.7,0.3418,40.0,110.0,0.0
13:00,5.093,16.0793,21.1723,0.0,0.0,21.1723,68.3,0.3615,40.0,110.0,0.0
13:15,3.6006,3.2115,6.8121,0.0,0.0,6.8121,68.3,0.1163,40.0,110.0,0.0
13:30,4.9802,9.5021,14.4823,0.0,0.0,14.4823,68.3,0.2473,0.0,150.0,0.0
13:45,4.3843,17.0147,21.399,0.0,0.0,21.399,68.3,0.3654,0.0,150.0,0.0
14:00,1.5369,17.1381,18.675,0.0,0.0,18.675,68.94,0.3219,0.0,150.0,0.0
