date,weekday,n_pickups,demand_modules,cost_opt_eur,cost_asap_eur,saving_eur,saving_pct,energy_opt_kwh,energy_asap_kwh,price_mean,price_min,price_max,price_spread_p90_p10,n_mill_runs_opt,n_mill_eco_opt,n_press_runs_opt,n_mill_runs_asap,n_press_runs_asap,peak_load_opt_kw,peak_load_asap_kw,H_end_opt,M_end_opt,H_end_asap,M_end_asap,H_mean_opt,M_mean_opt,H_mean_asap,M_mean_asap,energy_shifted_kwh,solve_time_s,termination_condition,n_mill_active_window_opt,n_press_active_window_opt,window_mill_cap,window_press_cap
2024-01-02,Tuesday,2,320,12.489,12.6431,0.1541,1.219,179.7872,167.2863,71.119,46.89,83.46,23.81,4,2,8,3,8,23.867,23.744,140.0,30.0,40.0,30.0,49.286,75.536,57.857,99.107,57.7436,1.342,optimal,6,15,8,20
2024-01-03,Wednesday,2,300,14.7549,9.3059,-5.449,-58.554,226.9964,151.5499,66.212,53.89,82.97,27.86,4,2,11,3,7,23.744,23.744,100.0,170.0,60.0,10.0,86.071,149.643,49.286,106.071,41.0974,0.966,optimal,4,13,8,20
2024-01-04,Thursday,2,240,7.9605,11.1944,3.2338,28.888,89.2449,122.0151,103.036,85.96,144.65,46.93,2,2,4,2,6,22.542,23.744,140.0,90.0,20.0,10.0,102.5,211.786,37.857,85.357,22.7823,1.134,optimal,2,6,8,20
2024-01-05,Friday,1,160,15.7672,8.5806,-7.1866,-83.754,165.3401,90.5423,98.306,89.57,108.45,15.84,3,3,8,2,4,22.419,23.744,120.0,250.0,60.0,10.0,69.643,255.714,56.429,102.857,44.5218,1.888,optimal,3,10,8,20
2024-01-08,Monday,2,330,13.8893,23.6125,9.7232,41.178,133.8673,212.5575,111.699,92.6,130.01,33.63,3,3,6,4,10,22.542,23.744,180.0,160.0,60.0,80.0,89.643,286.071,74.286,103.214,65.4694,1.134,optimal,4,11,8,20
2024-01-09,Tuesday,2,330,13.1976,17.5309,4.3333,24.718,120.7177,151.5499,119.306,100.22,137.84,36.98,2,2,6,3,7,22.542,23.744,140.0,70.0,80.0,30.0,142.5,192.321,69.286,145.893,56.174,1.355,optimal,3,12,8,20
2024-01-10,Wednesday,2,310,17.1705,20.2615,3.091,15.256,149.6037,167.2863,123.159,102.21,143.79,35.67,3,3,7,3,8,22.419,23.744,160.0,40.0,60.0,40.0,91.786,106.25,52.857,129.107,68.1919,0.935,optimal,5,14,8,20
2024-01-11,Thursday,2,290,16.7112,17.8742,1.1631,6.507,149.6037,151.5499,121.009,99.0,150.09,41.62,3,3,7,3,7,22.542,23.744,180.0,30.0,80.0,30.0,117.5,88.929,69.286,121.071,78.9337,3.249,optimal,4,14,8,20
2024-01-12,Friday,2,280,14.9478,19.797,4.8492,24.495,136.4541,167.2863,116.949,98.48,140.74,31.88,2,2,7,3,8,22.542,23.744,100.0,30.0,60.0,70.0,87.5,68.393,52.857,144.107,60.9914,5.054,optimal,5,15,8,20
2024-01-15,Monday,2,330,18.1857,13.8836,-4.3022,-30.987,194.8749,151.5499,96.146,82.15,112.8,26.52,4,3,9,3,7,23.744,23.744,140.0,60.0,80.0,20.0,68.571,117.679,69.286,145.536,63.1622,1.352,optimal,5,14,8,20
2024-01-16,Tuesday,2,260,15.3373,14.2988,-1.0386,-7.263,150.2525,122.0151,112.835,86.21,144.11,43.62,3,2,7,2,6,23.744,23.744,160.0,80.0,40.0,0.0,95.357,113.036,40.0,127.321,73.1351,1.012,optimal,4,12,8,20
2024-01-17,Wednesday,2,260,11.2042,17.8208,6.6166,37.128,104.9813,151.5499,116.324,96.5,140.52,27.47,2,2,5,3,7,22.542,23.744,160.0,20.0,60.0,20.0,115.357,101.786,49.286,76.786,82.9189,1.656,optimal,4,13,8,20
2024-01-18,Thursday,2,340,15.6836,17.0758,1.3922,8.153,165.3401,167.2863,100.06,83.12,125.89,35.74,3,3,8,3,8,22.542,23.744,140.0,0.0,40.0,0.0,72.5,77.321,57.857,108.036,79.817,1.532,optimal,5,16,8,20
2024-01-19,Friday,2,320,13.265,16.8664,3.6014,21.353,165.3401,196.8211,84.93,71.12,104.27,29.71,3,3,8,4,9,22.542,23.744,120.0,0.0,80.0,40.0,70.357,67.321,58.571,102.321,74.7634,18.428,optimal,5,16,8,20
2024-01-22,Monday,2,300,11.8192,10.1496,-1.6696,-16.45,194.8749,167.2863,62.981,56.72,77.35,15.07,4,3,9,3,8,23.124,23.744,160.0,60.0,60.0,60.0,80.357,91.071,52.857,148.929,70.9233,1.417,optimal,6,16,8,20
2024-01-23,Tuesday,2,340,8.5445,10.0856,1.5411,15.28,136.4541,151.5499,67.908,53.74,84.51,22.45,2,2,7,3,7,22.542,23.744,80.0,0.0,80.0,0.0,111.786,114.821,69.286,130.536,62.4519,1.456,optimal,4,12,8,20
2024-01-24,Wednesday,1,190,7.5498,4.9675,-2.5823,-51.983,165.9889,106.2787,47.472,36.44,54.21,14.0,3,2,8,2,5,23.744,23.744,60.0,130.0,80.0,10.0,62.143,146.607,62.143,143.036,64.8489,17.168,optimal,3,8,8,20
2024-01-25,Thursday,1,110,0.0,5.3046,5.3046,100.0,0.0,61.0076,92.414,74.95,123.38,37.68,0,0,0,1,3,0.0,23.744,60.0,20.0,60.0,20.0,60.0,128.036,52.857,106.607,30.5038,1.174,optimal,3,8,8,20
2024-01-26,Friday,2,310,12.9598,9.6112,-3.3485,-34.84,225.7071,167.2863,58.858,46.47,76.59,21.3,5,1,10,3,8,23.867,23.744,160.0,110.0,40.0,30.0,74.286,93.214,57.857,98.929,64.2639,1.44,optimal,6,15,8,20
2024-01-29,Monday,2,310,8.235,13.3694,5.1343,38.404,104.9813,151.5499,93.039,70.24,127.42,46.03,2,2,5,3,7,22.263,23.744,160.0,0.0,60.0,0.0,156.786,127.5,49.286,101.071,65.7702,1.422,optimal,4,12,8,20
2024-01-30,Tuesday,2,250,10.2409,11.7977,1.5568,13.196,136.4541,151.5499,81.541,68.1,99.23,27.7,2,2,7,3,7,22.419,23.744,80.0,30.0,80.0,30.0,96.786,77.679,69.286,96.25,51.625,1.639,optimal,3,11,8,20
2024-01-31,Wednesday,1,170,9.5544,9.2586,-0.2958,-3.195,134.516,106.2787,79.406,56.96,119.93,27.58,3,2,6,2,5,23.744,23.744,140.0,100.0,80.0,60.0,64.286,50.0,62.143,91.429,69.5137,1.35,optimal,4,10,8,20
2024-02-01,Thursday,2,260,7.4425,8.2951,0.8527,10.279,105.63,106.2787,81.631,57.26,97.89,27.07,2,1,5,2,5,24.256,23.744,140.0,40.0,80.0,0.0,102.5,128.929,62.143,124.643,51.59,1.251,optimal,4,12,8,20
2024-02-02,Friday,2,310,9.9713,11.4195,1.4481,12.681,166.6376,167.2863,64.904,49.68,89.32,33.17,3,1,8,3,8,23.744,23.744,120.0,50.0,60.0,10.0,70.0,86.786,52.857,103.929,80.786,1.535,optimal,5,14,8,20
2024-02-05,Monday,2,290,3.576,5.5594,1.9834,35.677,122.0151,151.5499,47.032,1.09,68.78,63.46,2,0,6,3,7,23.744,23.744,80.0,0.0,80.0,0.0,65.0,115.536,69.286,86.25,41.8123,1.327,optimal,3,10,8,20
2024-02-06,Tuesday,1,150,13.1075,5.6506,-7.4569,-131.966,240.7948,106.2787,54.702,40.11,62.97,19.46,5,2,11,2,5,23.744,23.744,140.0,290.0,80.0,50.0,54.643,127.143,62.143,71.429,67.258,1.849,optimal,5,13,8,20
2024-02-07,Wednesday,2,370,12.4192,14.3293,1.9101,13.33,150.2525,167.2863,93.14,75.98,136.22,42.06,3,2,7,3,8,23.744,23.744,160.0,200.0,60.0,0.0,134.286,343.929,52.857,143.214,60.0378,1.441,optimal,3,11,8,20
2024-02-08,Thursday,2,330,6.5755,17.9804,11.4049,63.43,76.0953,183.0227,96.182,80.61,133.15,30.35,1,1,4,3,9,22.542,23.744,100.0,30.0,0.0,30.0,92.857,179.464,50.0,97.321,81.2152,1.109,optimal,3,11,8,20
2024-02-09,Friday,2,280,10.7304,11.6912,0.9608,8.218,150.9012,151.5499,78.003,67.74,95.45,27.6,3,1,7,3,7,23.744,23.744,120.0,30.0,20.0,30.0,96.786,137.679,37.857,101.964,47.5336,2.011,optimal,4,12,8,20
2024-02-12,Monday,2,220,10.9345,10.2644,-0.6701,-6.529,149.6037,135.8135,81.048,63.75,104.0,32.55,3,3,7,3,6,22.542,23.744,140.0,90.0,80.0,50.0,75.357,101.786,69.286,109.643,44.1245,1.118,optimal,5,14,8,20
2024-02-13,Tuesday,2,340,10.2431,12.0103,1.7672,14.714,150.9012,167.2863,76.14,60.26,99.88,34.48,3,1,7,3,8,23.744,23.744,160.0,30.0,60.0,30.0,132.5,140.893,52.857,143.75,48.5428,1.287,optimal,5,15,8,20
2024-02-14,Wednesday,2,350,13.7278,15.5391,1.8113,11.657,194.8749,212.5575,73.14,62.63,87.58,21.18,4,3,9,4,10,23.124,23.744,200.0,40.0,60.0,80.0,120.0,115.179,74.286,118.036,69.3746,1.003,optimal,6,18,8,20
