date,slot,time_local,mill_kW,press_kW,total_load_kW,price_eur_mwh,cost_eur,housings,modules,pickup
2024-01-02,0,08:00,1.8638,0.0,1.8638,65.67,0.0306,60.0,30.0,0.0
2024-01-02,1,08:15,6.7293,0.0,6.7293,65.67,0.110478,60.0,30.0,0.0
2024-01-02,2,08:30,5.9956,0.0,5.9956,65.67,0.098433,60.0,30.0,0.0
2024-01-02,3,08:45,7.1179,9.5021,16.62,65.67,0.272859,20.0,30.0,0.0
2024-01-02,4,09:00,6.1091,17.0147,23.1237,64.73,0.3742,20.0,30.0,0.0
2024-01-02,5,09:15,5.6324,17.1381,22.7705,64.73,0.368484,20.0,30.0,0.0
2024-01-02,6,09:30,5.8458,16.0793,21.9251,64.73,0.354803,20.0,30.0,0.0
2024-01-02,7,09:45,5.1816,3.2115,8.3931,64.73,0.135821,20.0,30.0,0.0
2024-01-02,8,10:00,6.7301,0.0,6.7301,68.98,0.116061,20.0,70.0,0.0
2024-01-02,9,10:15,3.9878,0.0,3.9878,68.98,0.06877,20.0,70.0,0.0
2024-01-02,10,10:30,1.3266,9.5021,10.8287,68.98,0.186741,80.0,70.0,0.0
2024-01-02,11,10:45,4.184,17.0147,21.1986,68.98,0.365571,80.0,70.0,0.0
2024-01-02,12,11:00,5.1593,17.1381,22.2974,73.54,0.409938,80.0,70.0,0.0
2024-01-02,13,11:15,4.2588,16.0793,20.3381,73.54,0.373916,80.0,70.0,0.0
2024-01-02,14,11:30,5.404,3.2115,8.6155,73.54,0.158396,80.0,70.0,0.0
2024-01-02,15,11:45,4.491,9.5021,13.9931,73.54,0.257264,40.0,110.0,0.0
2024-01-02,16,12:00,5.1252,17.0147,22.1399,78.16,0.432613,40.0,110.0,0.0
2024-01-02,17,12:15,3.0543,17.1381,20.1924,78.16,0.39456,40.0,110.0,0.0
2024-01-02,18,12:30,5.093,16.0793,21.1723,78.16,0.413706,40.0,110.0,0.0
2024-01-02,19,12:45,3.6006,3.2115,6.8121,78.16,0.133109,40.0,110.0,0.0
2024-01-02,20,13:00,4.9802,9.5021,14.4823,78.87,0.285555,0.0,150.0,0.0
2024-01-02,21,13:15,4.3843,17.0147,21.399,78.87,0.421935,0.0,150.0,0.0
2024-01-02,22,13:30,1.5369,17.1381,18.675,78.87,0.368224,0.0,150.0,0.0
2024-01-02,23,13:45,0.0,16.0793,16.0793,78.87,0.317043,100.0,150.0,0.0
2024-01-02,24,14:00,0.0,3.2115,3.2115,79.24,0.06362,100.0,150.0,0.0
2024-01-02,25,14:15,0.0,9.5021,9.5021,79.24,0.188236,60.0,190.0,0.0
2024-01-02,26,14:30,0.0,17.0147,17.0147,79.24,0.337061,60.0,190.0,0.0
2024-01-02,27,14:45,0.0,17.1381,17.1381,79.24,0.339506,60.0,190.0,0.0
2024-01-02,28,15:00,0.0,16.0793,16.0793,79.96,0.321425,60.0,0.0,190.0
2024-01-02,29,15:15,0.0,3.2115,3.2115,79.96,0.064198,60.0,0.0,0.0
2024-01-02,30,15:30,0.0,0.0,0.0,79.96,0.0,60.0,40.0,0.0
2024-01-02,31,15:45,0.0,0.0,0.0,79.96,0.0,60.0,40.0,0.0
2024-01-02,32,16:00,1.3266,0.0,1.3266,83.46,0.02768,60.0,40.0,0.0
2024-01-02,33,16:15,4.184,0.0,4.184,83.46,0.087298,60.0,40.0,0.0
2024-01-02,34,16:30,5.1593,0.0,5.1593,83.46,0.10765,60.0,40.0,0.0
2024-01-02,35,16:45,4.2588,0.0,4.2588,83.46,0.088861,60.0,40.0,0.0
2024-01-02,36,17:00,5.404,0.0,5.404,80.92,0.109323,60.0,40.0,0.0
2024-01-02,37,17:15,4.491,0.0,4.491,80.92,0.090854,60.0,40.0,0.0
2024-01-02,38,17:30,5.1252,0.0,5.1252,80.92,0.103683,60.0,40.0,0.0
2024-01-02,39,17:45,3.0543,0.0,3.0543,80.92,0.061789,60.0,40.0,0.0
2024-01-02,40,18:00,5.093,9.5021,14.5951,74.95,0.273476,20.0,40.0,0.0
2024-01-02,41,18:15,3.6006,17.0147,20.6153,74.95,0.386279,20.0,40.0,0.0
2024-01-02,42,18:30,4.9802,17.1381,22.1183,74.95,0.414442,20.0,40.0,0.0
