timestamp_local,t_min,P_kW
2024-08-22 12:20:00,0,0.2
2024-08-22 12:21:00,1,0.2
2024-08-22 12:22:00,2,0.2
2024-08-22 12:23:00,3,0.1956
2024-08-22 12:24:00,4,0.4711
2024-08-22 12:25:00,5,0.1078
2024-08-22 12:26:00,6,2.9711
2024-08-22 12:27:00,7,25.8678
2024-08-22 12:28:00,8,25.7689
2024-08-22 12:29:00,9,25.7444
2024-08-22 12:30:00,10,25.7878
2024-08-22 12:31:00,11,25.7889
2024-08-22 12:32:00,12,9.088
2024-08-22 12:33:00,13,0.07
2024-08-22 12:34:00,14,0.07
2024-08-22 12:35:00,15,0.0733
2024-08-22 12:36:00,16,0.08
2024-08-22 12:37:00,17,6.1378
2024-08-22 12:38:00,18,28.43
2024-08-22 12:39:00,19,27.8611
2024-08-22 12:40:00,20,23.7789
2024-08-22 12:41:00,21,13.0967
2024-08-22 12:42:00,22,23.5111
2024-08-22 12:43:00,23,27.1911
2024-08-22 12:44:00,24,7.0189
2024-08-22 12:45:00,25,18.569
2024-08-22 12:46:00,26,27.0989
2024-08-22 12:47:00,27,12.8733
2024-08-22 12:48:00,28,12.3978
2024-08-22 12:49:00,29,27.1022
2024-08-22 12:50:00,30,18.0
2024-08-22 12:51:00,31,2.9533
2024-08-22 12:52:00,32,25.204
2024-08-22 12:53:00,33,23.1622
2024-08-22 12:54:00,34,6.82
2024-08-22 12:55:00,35,16.7167
2024-08-22 12:56:00,36,26.8667
2024-08-22 12:57:00,37,16.1511
2024-08-22 12:58:00,38,7.6089
2024-08-22 12:59:00,39,26.8811
2024-08-22 13:00:00,40,23.51
2024-08-22 13:01:00,41,7.3656
2024-08-22 13:02:00,42,26.8656
2024-08-22 13:03:00,43,26.3322
2024-08-22 13:04:00,44,2.634
2024-08-22 13:05:00,45,22.09
2024-08-22 13:06:00,46,26.6922
2024-08-22 13:07:00,47,13.5456
2024-08-22 13:08:00,48,22.5989
2024-08-22 13:09:00,49,25.3789
2024-08-22 13:10:00,50,8.119
2024-08-22 13:11:00,51,26.8056
2024-08-22 13:12:00,52,20.5411
2024-08-22 13:13:00,53,12.0856
2024-08-22 13:14:00,54,26.8478
2024-08-22 13:15:00,55,22.4811
2024-08-22 13:16:00,56,1.4089
2024-08-22 13:17:00,57,8.5189
2024-08-22 13:18:00,58,1.41
2024-08-22 13:19:00,59,2.6656
2024-08-22 13:20:00,60,1.838
2024-08-22 13:21:00,61,1.4111
2024-08-22 13:22:00,62,1.4133
2024-08-22 13:23:00,63,1.4178
2024-08-22 13:24:00,64,1.4111
2024-08-22 13:25:00,65,7.2944
2024-08-22 13:26:00,66,3.2833
2024-08-22 13:27:00,67,1.41
2024-08-22 13:28:00,68,1.4133
2024-08-22 13:29:00,69,1.4133
2024-08-22 13:30:00,70,5.4822
2024-08-22 13:31:00,71,7.6433
2024-08-22 13:32:00,72,9.1489
2024-08-22 13:33:00,73,1.7867
2024-08-22 13:34:00,74,1.8056
