timestamp_local,t_min,P_kW
2024-06-18 07:47:00,0,1.771
2024-06-18 07:48:00,1,1.7622
2024-06-18 07:49:00,2,1.7578
2024-06-18 07:50:00,3,1.7611
2024-06-18 07:51:00,4,1.7974
2024-06-18 07:52:00,5,1.766
2024-06-18 07:53:00,6,1.7714
2024-06-18 07:54:00,7,1.7613
2024-06-18 07:55:00,8,1.7684
2024-06-18 07:56:00,9,1.7706
2024-06-18 07:57:00,10,1.7676
2024-06-18 07:58:00,11,1.7675
2024-06-18 07:59:00,12,1.7676
2024-06-18 08:00:00,13,1.7697
2024-06-18 08:01:00,14,3.198
2024-06-18 08:02:00,15,6.6796
2024-06-18 08:03:00,16,6.6849
2024-06-18 08:04:00,17,6.786
2024-06-18 08:05:00,18,6.7054
2024-06-18 08:06:00,19,6.6135
2024-06-18 08:07:00,20,6.7
2024-06-18 08:08:00,21,6.6977
2024-06-18 08:09:00,22,5.9828
2024-06-18 08:10:00,23,7.0327
2024-06-18 08:11:00,24,6.7919
2024-06-18 08:12:00,25,7.0757
2024-06-18 08:13:00,26,6.7423
2024-06-18 08:14:00,27,6.9292
2024-06-18 08:15:00,28,6.8257
2024-06-18 08:16:00,29,6.6918
2024-06-18 08:17:00,30,7.0435
2024-06-18 08:18:00,31,6.6855
2024-06-18 08:19:00,32,7.0719
2024-06-18 08:20:00,33,7.0839
2024-06-18 08:21:00,34,6.6325
2024-06-18 08:22:00,35,7.1639
2024-06-18 08:23:00,36,2.9412
2024-06-18 08:24:00,37,2.0588
2024-06-18 08:25:00,38,1.9921
2024-06-18 08:26:00,39,2.3201
2024-06-18 08:27:00,40,5.6868
2024-06-18 08:28:00,41,6.6602
2024-06-18 08:29:00,42,6.6577
2024-06-18 08:30:00,43,6.6876
2024-06-18 08:31:00,44,13.2481
2024-06-18 08:32:00,45,6.6135
2024-06-18 08:33:00,46,6.6574
2024-06-18 08:34:00,47,6.5564
2024-06-18 08:35:00,48,7.3136
2024-06-18 08:36:00,49,6.8646
2024-06-18 08:37:00,50,7.1245
2024-06-18 08:38:00,51,6.6601
2024-06-18 08:39:00,52,6.8014
2024-06-18 08:40:00,53,7.463
2024-06-18 08:41:00,54,6.7771
2024-06-18 08:42:00,55,6.7713
2024-06-18 08:43:00,56,6.777
2024-06-18 08:44:00,57,6.6443
2024-06-18 08:45:00,58,7.1817
2024-06-18 08:46:00,59,10.5625
2024-06-18 08:47:00,60,7.264
2024-06-18 08:48:00,61,5.0178
2024-06-18 08:49:00,62,1.9797
2024-06-18 08:50:00,63,1.9878
2024-06-18 08:51:00,64,4.3246
2024-06-18 08:52:00,65,6.9
2024-06-18 08:53:00,66,6.8646
2024-06-18 08:54:00,67,6.8943
2024-06-18 08:55:00,68,10.3365
2024-06-18 08:56:00,69,6.6133
2024-06-18 08:57:00,70,6.6682
2024-06-18 08:58:00,71,6.6634
2024-06-18 08:59:00,72,6.5178
2024-06-18 09:00:00,73,6.7998
2024-06-18 09:01:00,74,6.8043
2024-06-18 09:02:00,75,7.1201
2024-06-18 09:03:00,76,6.8556
2024-06-18 09:04:00,77,6.819
2024-06-18 09:05:00,78,7.2632
2024-06-18 09:06:00,79,6.8544
2024-06-18 09:07:00,80,6.8553
2024-06-18 09:08:00,81,6.9791
2024-06-18 09:09:00,82,6.7613
2024-06-18 09:10:00,83,6.2205
2024-06-18 09:11:00,84,7.6197
2024-06-18 09:12:00,85,7.1872
2024-06-18 09:13:00,86,2.01
2024-06-18 09:14:00,87,1.9946
2024-06-18 09:15:00,88,1.9855
2024-06-18 09:16:00,89,1.9612
2024-06-18 09:17:00,90,1.7626
2024-06-18 09:18:00,91,1.7981
2024-06-18 09:19:00,92,3.0793
2024-06-18 09:20:00,93,6.7176
2024-06-18 09:21:00,94,6.6108
2024-06-18 09:22:00,95,6.6855
2024-06-18 09:23:00,96,6.5474
2024-06-18 09:24:00,97,6.5774
2024-06-18 09:25:00,98,6.7373
2024-06-18 09:26:00,99,6.7304
2024-06-18 09:27:00,100,6.4813
2024-06-18 09:28:00,101,6.8113
2024-06-18 09:29:00,102,6.879
2024-06-18 09:30:00,103,7.0263
2024-06-18 09:31:00,104,7.2429
2024-06-18 09:32:00,105,6.8053
2024-06-18 09:33:00,106,6.8205
2024-06-18 09:34:00,107,6.8874
2024-06-18 09:35:00,108,6.9322
2024-06-18 09:36:00,109,6.794
2024-06-18 09:37:00,110,6.9167
2024-06-18 09:38:00,111,6.7634
2024-06-18 09:39:00,112,6.9813
2024-06-18 09:40:00,113,7.202
2024-06-18 09:41:00,114,2.472
2024-06-18 09:42:00,115,1.9979
2024-06-18 09:43:00,116,1.9858
2024-06-18 09:44:00,117,1.9844
2024-06-18 09:45:00,118,2.1652
2024-06-18 09:46:00,119,5.0155
2024-06-18 09:47:00,120,6.6744
2024-06-18 09:48:00,121,6.6605
2024-06-18 09:49:00,122,6.6972
2024-06-18 09:50:00,123,6.3923
2024-06-18 09:51:00,124,6.7742
2024-06-18 09:52:00,125,6.6441
2024-06-18 09:53:00,126,6.1199
2024-06-18 09:54:00,127,6.8155
2024-06-18 09:55:00,128,6.825
2024-06-18 09:56:00,129,6.8691
2024-06-18 09:57:00,130,7.0965
