timestamp_local,timestamp_utc,t_min,price_eur_per_mwh
2024-03-18 00:00:00,2024-03-17 23:00:00+00:00,0,64.12
2024-03-18 00:15:00,2024-03-17 23:15:00+00:00,15,64.12
2024-03-18 00:30:00,2024-03-17 23:30:00+00:00,30,64.12
2024-03-18 00:45:00,2024-03-17 23:45:00+00:00,45,64.12
2024-03-18 01:00:00,2024-03-18 00:00:00+00:00,60,57.14
2024-03-18 01:15:00,2024-03-18 00:15:00+00:00,75,57.14
2024-03-18 01:30:00,2024-03-18 00:30:00+00:00,90,57.14
2024-03-18 01:45:00,2024-03-18 00:45:00+00:00,105,57.14
2024-03-18 02:00:00,2024-03-18 01:00:00+00:00,120,58.31
2024-03-18 02:15:00,2024-03-18 01:15:00+00:00,135,58.31
2024-03-18 02:30:00,2024-03-18 01:30:00+00:00,150,58.31
2024-03-18 02:45:00,2024-03-18 01:45:00+00:00,165,58.31
2024-03-18 03:00:00,2024-03-18 02:00:00+00:00,180,59.38
2024-03-18 03:15:00,2024-03-18 02:15:00+00:00,195,59.38
2024-03-18 03:30:00,2024-03-18 02:30:00+00:00,210,59.38
2024-03-18 03:45:00,2024-03-18 02:45:00+00:00,225,59.38
2024-03-18 04:00:00,2024-03-18 03:00:00+00:00,240,64.38
2024-03-18 04:15:00,2024-03-18 03:15:00+00:00,255,64.38
2024-03-18 04:30:00,2024-03-18 03:30:00+00:00,270,64.38
2024-03-18 04:45:00,2024-03-18 03:45:00+00:00,285,64.38
2024-03-18 05:00:00,2024-03-18 04:00:00+00:00,300,70.8
2024-03-18 05:15:00,2024-03-18 04:15:00+00:00,315,70.8
2024-03-18 05:30:00,2024-03-18 04:30:00+00:00,330,70.8
2024-03-18 05:45:00,2024-03-18 04:45:00+00:00,345,70.8
2024-03-18 06:00:00,2024-03-18 05:00:00+00:00,360,86.32
2024-03-18 06:15:00,2024-03-18 05:15:00+00:00,375,86.32
2024-03-18 06:30:00,2024-03-18 05:30:00+00:00,390,86.32
2024-03-18 06:45:00,2024-03-18 05:45:00+00:00,405,86.32
2024-03-18 07:00:00,2024-03-18 06:00:00+00:00,420,97.87
2024-03-18 07:15:00,2024-03-18 06:15:00+00:00,435,97.87
2024-03-18 07:30:00,2024-03-18 06:30:00+00:00,450,97.87
2024-03-18 07:45:00,2024-03-18 06:45:00+00:00,465,97.87
2024-03-18 08:00:00,2024-03-18 07:00:00+00:00,480,94.45
2024-03-18 08:15:00,2024-03-18 07:15:00+00:00,495,94.45
2024-03-18 08:30:00,2024-03-18 07:30:00+00:00,510,94.45
2024-03-18 08:45:00,2024-03-18 07:45:00+00:00,525,94.45
2024-03-18 09:00:00,2024-03-18 08:00:00+00:00,540,82.8
2024-03-18 09:15:00,2024-03-18 08:15:00+00:00,555,82.8
2024-03-18 09:30:00,2024-03-18 08:30:00+00:00,570,82.8
2024-03-18 09:45:00,2024-03-18 08:45:00+00:00,585,82.8
2024-03-18 10:00:00,2024-03-18 09:00:00+00:00,600,72.84
2024-03-18 10:15:00,2024-03-18 09:15:00+00:00,615,72.84
2024-03-18 10:30:00,2024-03-18 09:30:00+00:00,630,72.84
2024-03-18 10:45:00,2024-03-18 09:45:00+00:00,645,72.84
2024-03-18 11:00:00,2024-03-18 10:00:00+00:00,660,66.64
2024-03-18 11:15:00,2024-03-18 10:15:00+00:00,675,66.64
2024-03-18 11:30:00,2024-03-18 10:30:00+00:00,690,66.64
2024-03-18 11:45:00,2024-03-18 10:45:00+00:00,705,66.64
2024-03-18 12:00:00,2024-03-18 11:00:00+00:00,720,67.7
2024-03-18 12:15:00,2024-03-18 11:15:00+00:00,735,67.7
2024-03-18 12:30:00,2024-03-18 11:30:00+00:00,750,67.7
2024-03-18 12:45:00,2024-03-18 11:45:00+00:00,765,67.7
2024-03-18 13:00:00,2024-03-18 12:00:00+00:00,780,68.3
2024-03-18 13:15:00,2024-03-18 12:15:00+00:00,795,68.3
2024-03-18 13:30:00,2024-03-18 12:30:00+00:00,810,68.3
2024-03-18 13:45:00,2024-03-18 12:45:00+00:00,825,68.3
2024-03-18 14:00:00,2024-03-18 13:00:00+00:00,840,68.94
2024-03-18 14:15:00,2024-03-18 13:15:00+00:00,855,68.94
2024-03-18 14:30:00,2024-03-18 13:30:00+00:00,870,68.94
2024-03-18 14:45:00,2024-03-18 13:45:00+00:00,885,68.94
2024-03-18 15:00:00,2024-03-18 14:00:00+00:00,900,73.4
2024-03-18 15:15:00,2024-03-18 14:15:00+00:00,915,73.4
2024-03-18 15:30:00,2024-03-18 14:30:00+00:00,930,73.4
2024-03-18 15:45:00,2024-03-18 14:45:00+00:00,945,73.4
2024-03-18 16:00:00,2024-03-18 15:00:00+00:00,960,78.98
2024-03-18 16:15:00,2024-03-18 15:15:00+00:00,975,78.98
2024-03-18 16:30:00,2024-03-18 15:30:00+00:00,990,78.98
2024-03-18 16:45:00,2024-03-18 15:45:00+00:00,1005,78.98
2024-03-18 17:00:00,2024-03-18 16:00:00+00:00,1020,107.65
2024-03-18 17:15:00,2024-03-18 16:15:00+00:00,1035,107.65
2024-03-18 17:30:00,2024-03-18 16:30:00+00:00,1050,107.65
2024-03-18 17:45:00,2024-03-18 16:45:00+00:00,1065,107.65
2024-03-18 18:00:00,2024-03-18 17:00:00+00:00,1080,145.71
2024-03-18 18:15:00,2024-03-18 17:15:00+00:00,1095,145.71
2024-03-18 18:30:00,2024-03-18 17:30:00+00:00,1110,145.71
2024-03-18 18:45:00,2024-03-18 17:45:00+00:00,1125,145.71
2024-03-18 19:00:00,2024-03-18 18:00:00+00:00,1140,126.53
2024-03-18 19:15:00,2024-03-18 18:15:00+00:00,1155,126.53
2024-03-18 19:30:00,2024-03-18 18:30:00+00:00,1170,126.53
2024-03-18 19:45:00,2024-03-18 18:45:00+00:00,1185,126.53
2024-03-18 20:00:00,2024-03-18 19:00:00+00:00,1200,103.72
2024-03-18 20:15:00,2024-03-18 19:15:00+00:00,1215,103.72
2024-03-18 20:30:00,2024-03-18 19:30:00+00:00,1230,103.72
2024-03-18 20:45:00,2024-03-18 19:45:00+00:00,1245,103.72
2024-03-18 21:00:00,2024-03-18 20:00:00+00:00,1260,81.2
2024-03-18 21:15:00,2024-03-18 20:15:00+00:00,1275,81.2
2024-03-18 21:30:00,2024-03-18 20:30:00+00:00,1290,81.2
2024-03-18 21:45:00,2024-03-18 20:45:00+00:00,1305,81.2
2024-03-18 22:00:00,2024-03-18 21:00:00+00:00,1320,78.38
2024-03-18 22:15:00,2024-03-18 21:15:00+00:00,1335,78.38
2024-03-18 22:30:00,2024-03-18 21:30:00+00:00,1350,78.38
2024-03-18 22:45:00,2024-03-18 21:45:00+00:00,1365,78.38
2024-03-18 23:00:00,2024-03-18 22:00:00+00:00,1380,74.45
2024-03-18 23:15:00,2024-03-18 22:15:00+00:00,1395,74.45
2024-03-18 23:30:00,2024-03-18 22:30:00+00:00,1410,74.45
2024-03-18 23:45:00,2024-03-18 22:45:00+00:00,1425,74.45
