timestamp_local,t_min,P_kW_15min
2024-03-18 00:00:00,0,0.0
2024-03-18 00:15:00,15,0.0
2024-03-18 00:30:00,30,0.0
2024-03-18 00:45:00,45,0.0
2024-03-18 01:00:00,60,0.0
2024-03-18 01:15:00,75,0.0
2024-03-18 01:30:00,90,0.0
2024-03-18 01:45:00,105,0.0
2024-03-18 02:00:00,120,0.0
2024-03-18 02:15:00,135,0.0
2024-03-18 02:30:00,150,0.0
2024-03-18 02:45:00,165,0.0
2024-03-18 03:00:00,180,0.0
2024-03-18 03:15:00,195,0.0
2024-03-18 03:30:00,210,0.0
2024-03-18 03:45:00,225,0.0
2024-03-18 04:00:00,240,0.0
2024-03-18 04:15:00,255,0.0
2024-03-18 04:30:00,270,0.0
2024-03-18 04:45:00,285,0.0
2024-03-18 05:00:00,300,0.0
2024-03-18 05:15:00,315,0.0
2024-03-18 05:30:00,330,0.0
2024-03-18 05:45:00,345,0.0
2024-03-18 06:00:00,360,0.0
2024-03-18 06:15:00,375,0.0
2024-03-18 06:30:00,390,0.0
2024-03-18 06:45:00,405,0.0249
2024-03-18 07:00:00,420,0.0261
2024-03-18 07:15:00,435,0.0214
2024-03-18 07:30:00,450,0.0235
2024-03-18 07:45:00,465,0.0291
2024-03-18 08:00:00,480,0.0746
2024-03-18 08:15:00,495,0.2043
2024-03-18 08:30:00,510,0.1925
2024-03-18 08:45:00,525,0.1787
2024-03-18 09:00:00,540,0.25
2024-03-18 09:15:00,555,0.0592
2024-03-18 09:30:00,570,0.37
2024-03-18 09:45:00,585,0.3718
2024-03-18 10:00:00,600,0.1388
2024-03-18 10:15:00,615,0.1287
2024-03-18 10:30:00,630,0.5314
2024-03-18 10:45:00,645,1.1646
2024-03-18 11:00:00,660,0.4862
2024-03-18 11:15:00,675,0.8817
2024-03-18 11:30:00,690,1.4086
2024-03-18 11:45:00,705,0.9637
2024-03-18 12:00:00,720,2.5738
2024-03-18 12:15:00,735,1.9259
2024-03-18 12:30:00,750,1.0028
2024-03-18 12:45:00,765,1.8972
2024-03-18 13:00:00,780,1.4808
2024-03-18 13:15:00,795,3.7114
2024-03-18 13:30:00,810,3.8274
2024-03-18 13:45:00,825,4.7854
2024-03-18 14:00:00,840,1.1764
2024-03-18 14:15:00,855,4.1352
2024-03-18 14:30:00,870,3.4451
2024-03-18 14:45:00,885,3.609
2024-03-18 15:00:00,900,2.5854
2024-03-18 15:15:00,915,0.6237
2024-03-18 15:30:00,930,0.0682
2024-03-18 15:45:00,945,0.1747
2024-03-18 16:00:00,960,0.1401
2024-03-18 16:15:00,975,0.1547
2024-03-18 16:30:00,990,0.0909
2024-03-18 16:45:00,1005,0.0057
2024-03-18 17:00:00,1020,0.0
2024-03-18 17:15:00,1035,0.0
2024-03-18 17:30:00,1050,0.0
2024-03-18 17:45:00,1065,0.0
2024-03-18 18:00:00,1080,0.0
2024-03-18 18:15:00,1095,0.0
2024-03-18 18:30:00,1110,0.0
2024-03-18 18:45:00,1125,0.0
2024-03-18 19:00:00,1140,0.0
2024-03-18 19:15:00,1155,0.0
2024-03-18 19:30:00,1170,0.0
2024-03-18 19:45:00,1185,0.0
2024-03-18 20:00:00,1200,0.0
2024-03-18 20:15:00,1215,0.0
2024-03-18 20:30:00,1230,0.0
2024-03-18 20:45:00,1245,0.0
2024-03-18 21:00:00,1260,0.0
2024-03-18 21:15:00,1275,0.0
2024-03-18 21:30:00,1290,0.0
2024-03-18 21:45:00,1305,0.0
2024-03-18 22:00:00,1320,0.0
2024-03-18 22:15:00,1335,0.0
2024-03-18 22:30:00,1350,0.0
2024-03-18 22:45:00,1365,0.0
2024-03-18 23:00:00,1380,0.0
2024-03-18 23:15:00,1395,0.0
2024-03-18 23:30:00,1410,0.0
2024-03-18 23:45:00,1425,0.0
